Datetime,Water Level (m)
2024-08-23 18:00:00,0.00897721
2024-08-23 19:00:00,0.030807083
2024-08-23 20:00:00,0.4320117
2024-08-23 21:00:00,0.7913363
2024-08-23 22:00:00,1.2517276
2024-08-23 23:00:00,1.616413
2024-08-24 00:00:00,1.7355672
2024-08-24 01:00:00,1.648287
2024-08-24 02:00:00,1.3564599
2024-08-24 03:00:00,1.0285122
2024-08-24 04:00:00,0.7745864
2024-08-24 05:00:00,0.5582389
2024-08-24 06:00:00,0.34825474
2024-08-24 07:00:00,0.19762336
2024-08-24 08:00:00,0.37176242
2024-08-24 09:00:00,0.7922039
2024-08-24 10:00:00,1.2410538
2024-08-24 11:00:00,1.6378466
2024-08-24 12:00:00,1.743509
2024-08-24 13:00:00,1.643267
2024-08-24 14:00:00,1.4118861
2024-08-24 15:00:00,1.13365
2024-08-24 16:00:00,0.8909561
2024-08-24 17:00:00,0.6769925
2024-08-24 18:00:00,0.46903375
2024-08-24 19:00:00,0.2953413
2024-08-24 20:00:00,0.24097674
2024-08-24 21:00:00,0.638831
2024-08-24 22:00:00,1.0659639
2024-08-24 23:00:00,1.5357691
2024-08-25 00:00:00,1.8024585
2024-08-25 01:00:00,1.8168097
2024-08-25 02:00:00,1.6429076
2024-08-25 03:00:00,1.4111863
2024-08-25 04:00:00,1.1538547
2024-08-25 05:00:00,0.9384683
2024-08-25 06:00:00,0.72263056
2024-08-25 07:00:00,0.52508515
2024-08-25 08:00:00,0.38701317
2024-08-25 09:00:00,0.56354815
2024-08-25 10:00:00,0.9769887
2024-08-25 11:00:00,1.4144682
2024-08-25 12:00:00,1.6894205
2024-08-25 13:00:00,1.7077135
2024-08-25 14:00:00,1.5485547
2024-08-25 15:00:00,1.3463998
2024-08-25 16:00:00,1.117743
2024-08-25 17:00:00,0.9036279
2024-08-25 18:00:00,0.6920432
2024-08-25 19:00:00,0.49481872
2024-08-25 20:00:00,0.35503855
2024-08-25 21:00:00,0.4067042
2024-08-25 22:00:00,0.7683157
2024-08-25 23:00:00,1.169622
2024-08-26 00:00:00,1.5929613
2024-08-26 01:00:00,1.7912912
2024-08-26 02:00:00,1.7907016
2024-08-26 03:00:00,1.6206459
2024-08-26 04:00:00,1.4081545
2024-08-26 05:00:00,1.1910697
2024-08-26 06:00:00,0.98482037
2024-08-26 07:00:00,0.7759438
2024-08-26 08:00:00,0.5840522
2024-08-26 09:00:00,0.4742193
2024-08-26 10:00:00,0.6009069
2024-08-26 11:00:00,0.9210005
2024-08-26 12:00:00,1.2622199
2024-08-26 13:00:00,1.5004921
2024-08-26 14:00:00,1.5189582
2024-08-26 15:00:00,1.4091568
2024-08-26 16:00:00,1.2550112
2024-08-26 17:00:00,1.0724381
2024-08-26 18:00:00,0.87307805
2024-08-26 19:00:00,0.6782573
2024-08-26 20:00:00,0.50243497
2024-08-26 21:00:00,0.38642347
2024-08-26 22:00:00,0.4470012
2024-08-26 23:00:00,0.7413668
2024-08-27 00:00:00,1.0954918
2024-08-27 01:00:00,1.4452323
2024-08-27 02:00:00,1.6215721
2024-08-27 03:00:00,1.6422449
2024-08-27 04:00:00,1.5329084
2024-08-27 05:00:00,1.3567213
2024-08-27 06:00:00,1.1480634
2024-08-27 07:00:00,0.94798166
2024-08-27 08:00:00,0.75015634
2024-08-27 09:00:00,0.57095736
2024-08-27 10:00:00,0.44820178
2024-08-27 11:00:00,0.43339166
2024-08-27 12:00:00,0.6082191
2024-08-27 13:00:00,0.8717523
2024-08-27 14:00:00,1.1202523
2024-08-27 15:00:00,1.194694
2024-08-27 16:00:00,1.1400263
2024-08-27 17:00:00,1.0233136
2024-08-27 18:00:00,0.8931562
2024-08-27 19:00:00,0.7306067
2024-08-27 20:00:00,0.55840534
2024-08-27 21:00:00,0.3985957
2024-08-27 22:00:00,0.28943184
2024-08-27 23:00:00,0.28540006
2024-08-28 00:00:00,0.49398363
2024-08-28 01:00:00,0.78248364
2024-08-28 02:00:00,1.1338285
2024-08-28 03:00:00,1.3688344
2024-08-28 04:00:00,1.4714607
2024-08-28 05:00:00,1.449841
2024-08-28 06:00:00,1.3366759
2024-08-28 07:00:00,1.1584407
2024-08-28 08:00:00,0.9656491
2024-08-28 09:00:00,0.7795243
2024-08-28 10:00:00,0.6040056
2024-08-28 11:00:00,0.45854202
2024-08-28 12:00:00,0.37617397
2024-08-28 13:00:00,0.41771534
2024-08-28 14:00:00,0.6052699
2024-08-28 15:00:00,0.8730065
2024-08-28 16:00:00,1.0872004
2024-08-28 17:00:00,1.167005
2024-08-28 18:00:00,1.1328729
2024-08-28 19:00:00,1.0407896
2024-08-28 20:00:00,0.9111461
2024-08-28 21:00:00,0.74905586
2024-08-28 22:00:00,0.5910801
2024-08-28 23:00:00,0.45441717
2024-08-29 00:00:00,0.3869215
2024-08-29 01:00:00,0.46569026
2024-08-29 02:00:00,0.71397173
2024-08-29 03:00:00,1.0362321
2024-08-29 04:00:00,1.3473758
2024-08-29 05:00:00,1.5122786
2024-08-29 06:00:00,1.5537672
2024-08-29 07:00:00,1.4789221
2024-08-29 08:00:00,1.3290057
2024-08-29 09:00:00,1.1258023
2024-08-29 10:00:00,0.9259337
2024-08-29 11:00:00,0.73020774
2024-08-29 12:00:00,0.5499895
2024-08-29 13:00:00,0.4142503
2024-08-29 14:00:00,0.3531401
2024-08-29 15:00:00,0.4890327
2024-08-29 16:00:00,0.75292164
2024-08-29 17:00:00,1.0525113
2024-08-29 18:00:00,1.2225012
